사용자,평점,댓글 내용,감정
지은,3,독한것들,긍정
이재훈,3.5,적재적소에 쓸 줄 아는 흐름,긍정
최지수,1,황정민 아녔으면 바로 극장내려갔을듯,부정
동진,3,인질극 이라는걸 알고 봤음에도 초반부터 몰아치는 범인들의 변주에 나까지 납치된 것 같은 느낌을 받는다. 극 중 사제총기나 산 속 아지트 같은 부분은 조금 과한 부분인 것 같았으나 선택과 집중을 위해 설명을 건너뛰기로 한 것으로 보인다.,긍정
CineVet,2.5,"보편적인 반응은 무난~별로 사이의 어딘가가 아닐까 싶다. 적당히 몰입감 있고, 적당히 납득할 만한 전개로 흘러가지만 개연성으로 지적 가능한 여러 디테일의 결여가 사뭇 아쉽다. 흥미로울 수 있었던 ""배우가 본인을 연기한다""는 설정마저 매력을 잃고 흔하디 흔한 납치범죄극에 머무른다는 인상을 받았다. 이야기를 이끄는 배우 황정민의 힘은 대단하다. 항상 비슷해보이는 연기 톤에도 불구하고 그는 표정에 특유의 생동감을 품고 있다. 하지만 그가 보여주는 다채롭고 사실적인 표정들에도 불구하고, 보는 이들에게 전달되는 감정이나 긴장은 <인질>에 관객을 몰입시키기엔 많이 부족하다.",중립
김현경,1.5,"2년전에 찍었지만 코로나때문에 늦춘영화

그냥 김재범배우만 기억에 남는다

박성웅???? ㅇ 0 ㅇ  보다 깜짝놀람",부정
톄슈,4,원톱일때도 빛나는 그의 호연,긍정
Recloser,3,"15세 등급을 위해 청불 장면을 다 잘라내서 그런지 몰입되다가 점점 진부해지지만, 황정민과 일부 조연들의 연기력으로 간신히 커버",긍정
박찬욱,3.5,진짜 ‘황정민’과 어쨌든 가짜인 ‘황정민’이라는 캐릭터 사이의 ‘이미지 게임’이라는 장르.,긍정
Gooson,3,황정민에 취할 준비,긍정
석재현,3,"황정민이 차린 새 밥상, 맛집은 아니어도 먹을 만 하다.
94분짜리 '인질'을 보고 있자면, 그의 대표작 중 하나인 '베테랑'에서 남긴 명대사가 생각난다. ""우리가 돈이 없지, 가오가 없냐"". 엄청난 제작비를 들이며 화려하게 만들진 않았어도, 휘둘리지 않겠다는 자존심을 앞세우며 우직하게 밀고 갔기 때문이다.
그간 굵직한 행보를 보였던 황정민이 가상 캐릭터가 아닌 자기 자신을 연기했다. 그래서인지 그가 표현하는 인질이 된 톱배우 황정민은 어떤 모습일까 궁금했다. 개봉 전부터 '황정민의, 황정민에 의한, 황정민을 위한' 영화 식으로 홍보했기에 초점은 여기에 맞춰질 수 밖에. 황정민은 확실히 '천만 배우' 타이틀에 걸맞은 존재감과 열연을 펼쳤다. 화제를 낳았던 밥상 소감을 시작으로 납치된 후 살기 위해 고군분투하는 모습까지 리얼리티 그 자체였다. 후반부 실제상황 같은 어색한 액션 또한 현실성을 높이며 94분 내내 지루할 틈 없이 영화를 이끌어갔다.
톱배우가 인질이 된 만큼, 그를 납치하는 인질범 5인방은 신선한 얼굴로 대체됐다. 염동훈을 연기한 류경수가 이미 지난해 방영한 JTBC '이태원 클라쓰'로 눈도장을 받긴 했으나, 그와 함께 한 팀을 이룬 인질범들이 생소한 건 사실. 특히 인질범 리더 최기완을 맡은 김재범은 새로운 발견이다. 최기완이 등장할 때마다 자세를 고쳐 잡을 만큼 긴장한 것만으로도 그가 얼마큼 영향력을 끼쳤는지 알 수 있는 대목. 뉴페이스 발견이긴 하나, 이들이 연기한 인질범들이 스토리가 전개되면서 상투적으로 바뀌었고 반사효과처럼 인질 황정민이 부각되는 건 아쉬웠다. 이는 한정된 제작비에서 선택과 집중하면서 아쉬운 부분을 과감히 내려놓겠다는 필감성 감독의 의도처럼 보였다. 인질범들을 좀 더 입체적으로 그렸다면 더할나위없이 좋았겠지만, 짧은 러닝타임과 단조로운 서사를 리얼하게 살리겠다는데 초점을 맞춘 것에 대한 기회비용이라고 봐야할 것이다. 딱 적당히 즐길 수준으로 정한 것.
그렇다고 노력을 아예 안한 건 아니다. 최대한 원테이크 형식처럼 담아 긴박감 넘치게 연출한 카체이싱 신들만 봐도 '인질'은 자신들에게 주어진 여건 속에서 최선을 다한 셈. 황정민이 차린 밥상이 맛집처럼 극찬까진 아니더라도, 충분히 먹고 만족할만 맛이다",긍정
푸돌이,2,"미안, 관객도 인질이야.",부정
ㅇㅈㅇ,3,"황정민이 황정민해서 리얼리티 있게 보다가
납치범과의 마지막 장면에서 90분간 이어온 몰입도가 무너졌다.
.
근데 알고보면
그게 진짜 황정민의 모습이었을지도.",긍정
이공사육,2.5,"겨우 취업했다.
나도 인터뷰 백번 떨어졌었다
하는 인질들끼리의 휴머니즘 노린 대사들이 억지스러웠음",중립
문혁준,3,진부함 속에서 살아남기 위해 최선을 다해서 허우적거린다.,긍정
청비,2.5,흥행을 위한 어그로에 불과했던 설정.,중립
이윤형,1,본인이 어떤 역할이든 똑같은거 알고있네 저사람.,부정
No name,1,"외유내강이었네 ㅋ
기획까지만 참신한 거 같았어",부정
최재훈,3,즐기기 충분한 황정민 영화,긍정
쯔욧,3,황정민이 또 제대로 구르는 영화.,긍정
찐뷰,3,"어디서 본것같은 뻔함은 전부였지만
스릴러의 기본만틈은 충실했기에 평작은 되었다
예상보다는 조금 더 괜찬은 엉화.",긍정
제프박,3,유명 배우가 그 배우를 연기하며 무명 배우들과 대결을 펼친다는 흥미로움. 유명인에게 요구되는 굴레에 대한 의미있는 메시지.,긍정
조토끼,3,형사 역할 10년이면 웬만한 경찰보다 낫다.,긍정
종진,3,설정이 특이해서 매력은 있다.,긍정
곽승현,2.5,"기획 의도도 알겠고, 모티프가 될 만한 몇가지 실제 사건도 알겠고, 고생도 알겠다. 참신한 얼굴들과 참신한 황정민은 마음에 든다.
다만, 그림 위에 덧대 그린 모사작같은 흐름, 강박적인 과시욕으로 가득한 캐릭터들이 참신하지는 않았다.
무엇보다 리얼리티를 고집하고 싶은 건지 아닌 건지 분간이 가지 않는다.",중립
이윤석,3.5,"뭔가 급히 서두르는 느낌이 있지만
이 정도면 낫배드
악당이 그냥 악당같아서 좋았음
황정민씨 현실에서도 너무 용감하고 똑똑한거 아닙니꽈 ㅋ",긍정
아만보 무비,2,"현실 황정민이 납치되는 영화적 이점이 없다.
생각해보라 그냥 허구의 유명 연예인이 나온다 한들 전혀 이질감 없는 각본이다.
김재범이 연기한 싸이코도 그냥 답습하듯 흔히봐 왔던 그 악당에 또 그 눈빛이다.
짧은 러닝타임에 오히려 뭘 안 하려고한  킬링타임용 충실함이 오히려 높게 평가된다.",부정
월터 핑크맨,2.5,"황정민을 캐스팅했으니 다 됐다라는 마인드였던건가. 너무 성의가 없다. 연출도 대충, 각색도 대충, 황정민을 제외한 조연들의 연기도 대충. 대충대충 90분을 때웠다. 그래도 100분 넘어가지 않은 것만 해도 감사한다.",중립
림군이,3.5,황정민의 황정민 되기,긍정
Eomky,3.5,"늘어짐없는 스피디한 전개와 연기가 좋다.
2021년  9월 17일 씨네Q 신도림",긍정
권영민,3,"'살려주세요. 나는 개새끼입니다. 저 년만 죽여주세요.'
.
.
이 영화에서 가장 흥미로운 부분은 뭐니뭐니해도 '황정민의 연기'다. 영화 밖 황정민이 영화 속 황정민을 연기하는 것은 물론, 영화 속 황정민은 인질이 되어 납치범들에게서 살아남기 위한 필사의 연기를 펼친다. 즉 황정민이 황정민을 연기하고 그 황정민이 또 연기를 하는 것인데 이런 메타 연기야말로 이 영화만의 특장점이다. 다만 그것이 딱 그 선이었을 뿐 흥미 유발 이상의 단계론 넘어가지 못한건 아쉬운 부분이다.
.
.
이 영화에서 황정민이 갖는 힘은 상상 이상이다. 하지만 그렇다고 나머지 배우들이 황정민의 이름값에 숨은 채 아무런 존재감이 없느냐 하면 또 그것은 아니다. 영화계에서 보기 힘든 배우들이나 신인 배우들로 구성되어 낯선 얼굴들이 많아서 그런지 배우가 가지고 있는 이미지보단 온전히 연기에 집중해서 보게 됐는데, 개인적으론 아주 만족스러웠다. 보면서 배우들의 대사와 표정 하나하나가 긴장감을 유지시켜준다.
.
.
그러나 결국 이 영화의 가장 큰 약점은 그 이외엔 전혀 특별할 것 없다는 전형성이다. 황정민을 비롯한 배우들이 열연하지만, 스토리와 캐릭터는 뻔하다. 납치범은 영화의 진행을 위해 개연성 없이 인질들을 위한 쥐구멍을 군데군데 남겨두고, 경찰은 항상 두 발자국 이상 늦거나 결정적인 순간에 도움은 커녕 방해만 된다. 스릴러로선 아주 흔히 볼 수 있는 킬링타임 이상이 될 수 없다는 말이기도 하다.",긍정
팻트릭,4,배우들 두들겨 맞느라고 고생함. 베드액션 여 조연 배우 살아있네. 바보역으로 출연한 조연이 연기 젤 잘했다! 리스펙! ㅎㅎㅎ,긍정
Lj,2.5,"1. 굉장히 게으른 서사와 트릭
2. 모든 캐릭터가 후진 대사만 내뱉음
3. 기능적인 서비스컷을 위해 존재하는 여성 악역
4. 류승완 제작사가 만든 영화가 맞나 싶을 정도로 어설픈 액션
5. 악역의 행동이 불필요하게 과함",중립
하주완,3.5,"킬링타임용 영화라는 말이 왜 나쁜가, 시간을 죽이는 게 얼마나 힘든데.",긍정
sunm5ng,3.5,"피흘리고 뛰는 연기도 매번 다르게 느껴진다.
황정민파워. 다음 영화가 기대되는 걸?",긍정
유정란,3,C컵 처음 보냐?,긍정
임지호,1.5,스포일러가 포함되어 내용을 생략했습니다.,부정
젠젠,2,연기는 잘하네요..그게 다네요..세상에 분노를 그따위로밖에 표현이 안되냐? 에휴 머저리들...납치범은 황이 혼자 잡고ㅠ 경찰은 쏘 무능력...,부정
동 진리 병론가,2.5,"감독님 이름부터가 미스다
어떤 느낌을 주려고 하는지 모르겠다",중립
이용우,3.5,황정민을 제외하면 어디선가 본 캐릭터들. 그럼에도 불구하고 곁가지를 차치한 채 올곧게 나아간다.,긍정
고망쥐,2.5,"가벼운 마음으로 갔다가 생각보다 잔인하고 스릴 넘쳐서 놀람. 기본에 충실했지만 그 이상은 느껴지지 않아서 주는 별점.
대학로 연극이나 드라마 조연들을 눈여겨 본 분들이라면 제법 익숙한 얼굴들이 많이 등장함. 일부러 캐스팅 신경썼다고 들었는데 배우분들 이 작품으로 승승장구하기를.",중립
마넴리,2,스포일러가 포함되어 내용을 생략했습니다.,부정
김참치,5,납치범들 캐스팅이 한수였다. 영화가 끝나고 몇 시간이 흐른 후에도 여운이 가시지 않아 조만간 2회차 도장 찍으러 갈 예정!,긍정
효정이,3,와 19세인줄 알았는데 15세라니..,긍정
임현빈,2.5,처음부터 마케팅을 염두에 둔 듯한 기획력이 전부,중립
NamEuihyun,2,넷플에 올라올때 볼걸.. 아니 보지말걸,부정
배윤경,3.5,이 별점 모두 김재범 배우에게 주고싶다,긍정
김국수,3.5,몸에 힘 바짝 들어가는 여름 스릴러의 묘미,긍정
김기모,3.5,"황정민이 황정민을 연기했다는
신선함만 남겼다",긍정
최하림,3,스포일러가 포함되어 내용을 생략했습니다.,긍정
죨죨,3,5억을 얻기에 그들은 너무나 허술했다.,긍정
텐렙스,2.5,뭔가엉성한..근데 김재범배우님은 띠겁게 연기잘한듯,중립
냥냥빔,2.5,"리얼해서 찝찝함만 남는다.

영화를 통해 느낄 수 있는 카타르시스도 없고, 그냥 폭력적이기만 함. 그래서 더욱 찝찝하고, 유쾌하지 않다. 쫄깃함도 잘 모르겠고, 그냥 자극적이기만 하다. 그래서 불쾌했음. 현실성을 높인 리얼한 연출에 현재 어디선가 일어나고 있는 범죄 현장을 엿본 듯한 기분이 들어 썩 즐겁진 않다. 그만큼 리얼하다 싶겠지만 어쩌면 영화는 영화이기만 했음 싶다. 다크나이트의 인질극 처럼.",중립
권샤방,2.5,연기 좋고 스토리 좋은데 내용이 큰 오류가 있는듯 본사람은 알것임 모르면 재미있을 수 있는듯,중립
정혜원,1.5,"너무 뻔뻔뻔했던 영화.

황정민이란 실제 캐릭터를 왜 썼는지 의문이다..

악역 캐릭터들도 매력이 없어 아쉬웠고..
두 악역의 자존심 싸움으로 끝..",부정
김PD,3,"어려운 시도.
모큐멘터리처럼 조연들은 더 과감한 캐스팅이었어야 했나.

마지막 15분의 황정민이란 배우의 존재감은 엄청나다.
영화의 목표는 결국 황정민의 개고생이었던건가.",긍정
Bryan Jo,3,배우 황정민을 연기한 황정민의 캐스팅은 절묘했으나 후반으로 갈수록 극중 배우 황정민이 아닌 황정민이 연기했던 다른 영화 속 캐릭터들의 집합체가 되면서 오히려 매력이 덜해졌다,긍정
김만기,3,"힙한 접근과 다소 뻔한 플롯, 인상적인 연출",긍정
송우석,3,잘 차려진 인물들의 끈질긴 시너지와 함께 소모되어버린 소재들의 간결하고도 아쉬운 조응방식.,긍정
강져니,3,아쉽다,긍정
이종호,3.5,납치된 황정민이 너무 의연함. 조폭 배역을 많이 해봐서 그런듯.,긍정
드플레,2.5,"리얼리티의 극대화를 위해 배우가 자신을 연기하게 만드는 영화. 이 기획의 초점은 오로지 현실감에 맞춰진 듯 보인다. 짚고 넘어가야 할 점은, 이 영화에는 영화와 현실의 경계를 무너뜨리겠다는 의지 자체가 보이지 않는다는 점이다. 아니 영화는 일부러 그 의지를 버리고자 한다. 대신 영화가 선택하는 건 현실감을 곱씹을 수 있는 구간들을 번뜩이는 영화적 체험으로 가공하는 일이다. 이 선택은 곧 영화의 정체성을 재단하며, 더 나아가 이 영화의 매력을 형상화한다. 여기까진 괜찮아 보일지 모르겠으나, 이 영화는 그 과정에서 스스로 어떤 매력을 발산해야 할지 고뇌하다가 결국 아쉬운 길로 접어들고야 만다.
.
황정민이 극 중 납치범들에게 잡혀 스마트폰 속 동영상을 확인하는 신이 있다. 이때 영화는 휴대폰 속의 영상을 바라보는 황정민의 모습을 핸드헬드로 포착하는 쇼트 대신 재생되는 영상 자체를 관객에게 독립적인 쇼트로 제공한다. 즉, 관객이 이 순간 느낄 수 있는 감정은 영화의 설계 하에 제한될 수밖에 없다. 관객은 두려움과 쇼크로 둘러싸인 황정민의 모습 말고, 영상 속 내용이 전해주는 끔찍함에 몰입할 기회를 얻는다. 이러한 장면의 연결로 인해 실제 현실에 손길을 건네는 영화의 사실성에 균열이 간다. 즉, 영화 속 황정민은 실제 인물처럼 보이지만, 결국 황정민이 아닌 다른 사람으로 대체되어도 문제가 없다는 점이다. 왜냐하면, 스마트폰 속 영상이 관객한테 독립적으로 제시되는 순간, 관객은 실제 황정민이 잡혔다는 데서 오는 사실감보다도, 제시되는 상황 자체를 음미하게 되기 때문이다.
.
거듭 말하지만, <인질>은 황정민을 본인으로 등장시킨다. 톱스타 황정민이 실제로 의문의 괴한에게 납치가 되는 아찔한 상황을 실감 나게 연출하기 위해서 황정민과 박성웅을 제외한 주요 인물들을 전부 대중에게 잘 알려지지 않은 배우로 캐스팅했으며, 황정민과 박성웅은 함께 출연했던 영화 <신세계>를 연상시키는 대사로 현실감을 환기한다. 황정민의 대표작 가운데 하나인 <부당거래>와 <베테랑>을 서사적 연료로 활용하는 구간 또한 존재한다. 현실을 영화에 편입시키려는 이러한 순간들은 모두 철저하게 도구로만 쓰인다. 즉, 이 요소들은 <인질>이라는 영화의 각본을 굴러가게 만드는 윤활유처럼만 활용될 뿐이다. 그러니까 <인질>은 철저히 영화처럼 보이길 원하는 영화다. <인질>에는 황정민의 하루를 밀도 있게 취재하려는 다큐멘터리의 작법도 없고, 황정민의 소탈한 일상을 들여다볼 수 있게 만드는 유튜브 영상의 질감도 없다. 오해할까 싶어 다시 짚고 넘어간다. 이 선택이 잘못되었다는 말이 전혀 아니다. 이 영화는 배우 황정민이 뿜어내는 리얼리티를 영화 자체의 핍진성을 확보하는 데에만 얄팍하게 소비할 뿐이다. 따라서 황정민이 다른 누구로 대체되든 유사한 결과물로 귀결될 가능성이 매우 크다.
.
다만 예상치 못한 만족감이 느껴지는 순간이 있었다. 후반부 처절한 액션 신에서 황정민이 싸우는 모습을 보고 있자니, 그 몸짓에 그간 그가 출연해 왔던 배역(형사 역할 등)을 통해 축적된 노하우가 반영이 되어 있을까 싶은 궁금증이 피어났다. 물론 해당 신은 무술 감독 및 액션 연출부와 잘 협의하고 연구한 끝에 나온 장면이겠지만, 어쩐지 배우 황정민이 뿜어내는 리얼리티(그의 연기 경력에서 나오는 노하우)가 영화의 설정이나 연출 및 기획 등보다도 자연스럽게 나의 몰입을 도와주는 느낌이 들었다. 하지만 이는 <인질>이 애당초 의도했던 바와는 거리가 있는 나만의 돌출된 감상에 불과할지도 모른다. 어쩌면 이 구간에서 감독은 그저 처절한 싸움 끝에 황정민이 일상으로 돌아가게 된다는 서사의 한자락만을 담아내려고 했을 뿐이지 않을까.",중립
WonSoul,3,"중반까지의 긴박감까진 좋았으나,
황정민이라는 배우의 납치라는 소재 하나로 퉁치기엔
전체적으로 뻔하게 예상되는 스토리전개였다.",긍정
SooooodaL,2.5,"망할 수 없는 스토리&주연의 조합.황정민은 언제나처럼 황정민했음👍특히 마지막씬 눈빛 한방으로 엄청난 부연설명이 되고 관객으로써  이해되는 경험.. 소름끼쳤음!!😍

BUT!

""덜 예쁘고,덜 잘생기고, 낯선 배우""들이 출연하면, 나처럼 외모지상주의에 세뇌된 관객은 자동으로 엄청난 내공과 연기력을 기대함..하지만 아무도 그렇지 않았음🙄

""실존하는 배우 황정민"" 과 ""영화 속 배우 황정민""의 경계를 확실히 하고싶은 설정의 캐스팅 같았으나 글쎄... 잘 모르는 사람들이 떼로나와 쎈척한다고 연기파로 보이지는 않았어요.",중립
주마등,3,"영화는 처음부터 끝까지 예상한 대로 흘러간다.
하지만 식상하지 않았다.
마치 어릴적 비싼돈인데도 4D롤러코스터를 탔을 때 처럼, 스토리는 모르겠고 관객들이 윽윽 거리며 체험하게 한다.

- 최근 ‘깡철개그부대’ 를 봤는데 납치범 대장 볼때마다 KBS 장윤석 개그맨이 자꾸 떠올랐다..
특히 이마깠을땐..ㅋㅋㅋ",긍정
배성진,3,"신선한 소재에 긴장감은 괜찮았다
유명배우들 안쓴 것도 좋은 선택인듯?",긍정
한민영,2.5,스포일러가 포함되어 내용을 생략했습니다.,중립
오세동,3.5,"한국에 많이 없는 신선한 소재. 배우층에 새로운 얼굴이 많이 보여서 즐겁다.
정말 연기력으로 승부한다.
그러나 제 4의 벽을 깨기엔 몰입감이 부족했다.
감독은 관객들로 하여금 현실의 배우 황정민이 보이길 원했겠지만 배역 황정민이 보일 뿐. 아쉬웠다.
역동적인 카메라 워킹과 빠른 자동차 추격전으로 스릴러의 몫은 톡톡히 했다.
다만 뻔한 내용에선 벗어나기 어려웠다.
.
ㅡ스포있음ㅡ
.
배우 황정민이 납치된다.
이러쿵 저러쿵 탈출을 시도했지만 실패한다.
결국 경찰이 찾게되고, 납치범들이 내분하며 황정민과 어떤 여자아이는 무사히 탈출한다.
해피엔딩.
하지만 2년 후, 황정민은 트라우마에 시달린다. 그래도 프로 배우기 때문에 오늘도 겁먹지 않은척 연기를 한다.
ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ
황정민의 팬이기에 잘 봤다.
연기를 이용하여 위기을 모면하는 장면이 인상깊다.
다리에 찔린 나무를 뽑은 뒤 서럽게 우는 장면도 좋았다. 언제나의 영화 속 모습처럼 영웅이 아닌, 정말 사람 황정민이라는 감정을 느꼈다.
.
개인적으로, 납치범 무리의 샛별?이라는 배역이 참 아쉽다.
걸크러쉬하게 비춰지고싶었으나 막상 대사는 쎄보이는(안어울리는) 욕 몇마디와 C컵 처음보냐는 뜬금없는 한마디. 뭔가 팀과 조화롭게 어울리지 못하고 붕 뜬 캐릭터여서 아쉽다. 빡빡이의 애인으로서 빡빡이의 분노를 폭발하게 하는 트리거로만 소모된것같다.
.
다른 배역은 참 인상깊다. 각각의 캐릭터가 너무도 매력적이다. 특히 그 찐따님.. 기억에 남는 배우.
.
2021.08.19
.",긍정
별비,2,신선함으로 승부해야 할 영화였으나 어떤 새로움도 느끼지 못했음,부정
Sanghyun Sim,3,"영화 속에서 가상의 캐릭터가 아닌 배우 황정민이 납치를 당한다는 시작점은 참신하고 좋았으나 납치범들의 캐릭터와 이야기 진행은 그닥 참신하지 못한 게 좀 아쉽다. 하지만 괜시리 납치범들에게 개연성을 부여한다고 구구절절 설명하지 않고 간단하게만 짚고 납치사건에 집중한 점, 조악하고 투박한 사제 무기로 공포감을 높이고 스릴러답게 끝까지 긴장을 놓지 못하게 만든 점은 칭찬할 만 하다.

#인질 #배우황정민 #황정민개고생 #개아퍼보임",긍정
함성규,0.5,"국내 big4배급사 4가지 편견
1. 톱스타가 2명 이상 나와서 팬몰이 하던가, 가족 단위로 볼 수 있는 영화, 기승전 감성 팔이류의 흥행몰이 할 수 있는 작품들은 CJ가 배급한다. 그래서 CJ는 영화의 작품성 같은 건 안중에도 없고 오로지 흥행하냐 안 하냐만 따지기 때문에 확실한 승부가 아니면 패를 숨긴다.

2. 영화의 완성도도 흥행보증도 높은 작품은 쇼박스가 배급한다 - 이 생각은 작년 한국 영화계의 3대 재앙 중 하나인 <국제수사> 그리고 지난주 한국 영화계의 개망신 <싱크홀>로 깨졌다.

3. 국내 작품이든 외국 작품이든 영화의 완성도가 엉망진창이면 롯데가 배급한다. 가끔 기억도 가물가물한 <아이 캔 스피크>라던가 <증인> 그리고 외국영화에서는 미션임파서블 시리즈라던가 콰이어트 플레이스 시리즈처럼 의외의 복병이 있었지만 나는 아직도 트랜스포머 5를 다시 보는 악몽을 꾸곤 한다..

4. 그리고 이런 2019년도에 제작되어 개봉도 못하고 창고에 처박혀있던 황정민이 아니라 황정민 할아버지가 와도 살릴 수 없는 쓰레기 삼류영화는 new가 배급한다. 여러 인터넷 여기저기 쁘락지 여럿 심어놓고 대단한 명작인 것 마냥, 흥행작 인척, 여론몰이 해가며 선량한 관람객들 이성적인 판단에 큰 도움 주시면 되니까 어떤 망작을 졸작을 배급해도 든든하다.

왜 개봉 못하고 창고에 박혀있었는지 보면 알 수 있다. 영화 동아리가 UCC 만든 수준의 영상물에 톱스타 한 명이 출연했을 뿐, 모든 대사가 싼 티 나는 10원짜리 욕들이랑 말 같잖은 허접한 연출, 불쾌한 장면들과 치명적인 빌런인 척 연기하는 엉성한 배우들 밖에 없다. 낙원의 밤을 보고 욕을 했던 나 자신이 부끄럽다. 4개월 뒤에 이런 쓰레기를 만나게 될 자신을 모르고.. 시간이 너무 빨리 가서 고민이신 분들은 꼭 보시길 바랍니다. 황정민님 배우 커리어 최대의 오점이 될 기록적인 망작",부정
이재성,3.5,스포일러가 포함되어 내용을 생략했습니다.,긍정
송씨네,4,"황정민이 부릅니다. 드루’Wa’… 드루와 드루와 Babe… 톱스타 황정민이 납치되었다는 발상으로 출발한 영화로 95분의 러닝타임을 알차게 채우고 인질범 역의 배우들도 신인들로 채워 호기심을 일으킵니다. 새롭진 않죠, 하지만 황정민이 맡은 황정민이 궁금하지 않을 수 없죠. 밥상 소감이나 명대사를 본인입으로 말하는 것이 잔재미인데 ‘차인표’의 본인을 연기한 차인표 씨와 어찌보면 다른 방식의 개고생이라는 점 역시 흥미롭죠. 자칫 러닝타임을 질질 끌 수 있기에 위험해질 수 있는데 ‘모가디슈’를 비롯해 류승완 사단의 제작사 ‘외유내강’은 그런 함정에 빠지지 않죠. 때려주고 싶을 정도로 리얼한 연기를 보여주는 인질범 5인방은 실제로도 필모들이 적어보이지만 나름 검증받은 배우들이란 점에서 앞으로 주목되죠. 심지어 감독도 신인이라 괜찮을까란 의문이 들지만 그 불안을 말끔히 제거합니다. 원작은 유덕화 주연의 ‘세이빙 미스터 우’로 원작과 비교해보는 재미가 있을 것 같습니다. 홍콩 원작은 실화 바탕이라 리얼했다고 하는데 우리는 리얼보다는 액션에 더 집중하지 않았을까 예상해 봅니다.",긍정
혼영둘영환영,1.5,스포일러가 포함되어 내용을 생략했습니다.,부정
Apoteosis,4.5,몰입감은 요근래 본 영화 중에서는 최고,긍정
장호준,3.5,"실제 사건을 기반으로 한 오리지널 [세이빙 미스터 우]의 사실적 요소를 영리하게 한국적으로 번안했다. 원작의 진지함보다는 스릴러로서의 긴장감을 조성하는데 주력하고 있으며, 낯선 배우들의 캐스팅으로 실내극적 긴장감을 극대화시켰다. 익히 유명한 '황정민'이라는 캐릭터를 활용하는 능력도 좋은 편. 극적인 이완보다는 몰아부치는 스타일이라 호불호는 다소 있을듯.",긍정
주방장의 잡기술,3,"인물들의 심리를 얽매는 것과
황정민 이 세 글자가 이 영화에서 기억에 남는 것",긍정
노곤노곤,3.5,"최대한 현실성을 살리고자 하는 초반부 연출은 좋았으나 후반으로 갈 수록 여느 영화와 다를 바 없어지는 게 아쉬움으로 남는다
납치범 역할을 맡은 배우들의 열연이 단연 돋보인다",긍정
june_pieces,,"문명특급 황정민 편 보고 기대 중인 작품
황정민이 배우 황정민을 연기한다",알 수 없음
Limousine,3.5,"'황정민'으로도 메울 수 없었던 영화와 현실 사이 이질감

또 시도만 좋았다.

#현실감을 위해 본인이 본인을 연기하고 그 외 주요 배역은 모두 비유명 신인 배우들에게 맡겼다. 신인 배우들을 기용하려 한 의도는 좋았으나 결과물이 따라주지 않았다. 류경수 배우를 제외한 배우들이 '현실'이 아닌 '영화'를 연기해버려 그 취지가 무색해져버렸다. 게다가 '리얼리티'을 강조하는 영화치고, 주요 악역과 주인공의 능력치 보정이 비현실적이다.... 특별출연 박성웅의 농담 따먹기가 제일 현실적이었으니...
그래도 소재 자체가 워낙에 흥미롭고, 신인배우들의 연기도 후반으로 갈수록 괜찮아졌다는 것에 위안을 삼고 괜찮은 장르적 재미를 즐긴다면 못 볼 정도의 영화는 아니다.
그래도 아쉽다. 너무 아쉽다. 마케팅 과정에서 현실감을 강조한 것이 최대 실책이 아닐까 싶다.",긍정
카메라,3,"믿고보는 외유내강.
이제 외유내강이 만든 영화는 평타는 친다는 믿음이 생기고 있다.
(2021. 8. 9. 메가박스 코엑스. 시사회)",긍정
싱요미,3.5,서론 짧고 바로 본론으로 치닫는 짧고 굵은 잘만든 오락 영화. 원작 '세이빙 미스터 우'보다 더 장르적이고 재미있다.,긍정
우리는끝없이흐른다,3,실제 황정민을 그대로 갖다 쓰는 모험을 하면서 악당들은 오히려 연극적이다. 게다가 멍청해서 황정민이 활약할 기회를 주지 않고 자멸한다.,긍정
아싸혼영,3,"준수한 시놉시스
평범한 연출
벙찌는 중간전개
비범한 연기",긍정
이지수,3,도시는 위협들로 가득 차 있다.,긍정
방주형,0.5,황정민만 보인다,부정
Solar,3,"2명의 배우와
나머지 배우들간에

영화 속 상황 몰입의 정도가 다르게 느껴져서
서로 다른 장르를 찍는것같기도했다.",긍정
삐리리,2.5,현실인지 영화인지를 착각하게 만들지만 재미는 글쎄다,중립
빈⠀,2.5,화제성만 챙겨가는 설정,중립
조독주,3,팝콘을 부르는 황정민의 황정민.,긍정
서주원,3,"황정민의 연기력과
납치범들이 정말 섬뜩했다",긍정
악동이,3,"3.1
맛집을 찾는 이유
기본은 한다.",긍정
Hoon,3,황정민의 연기만은 인정 안할 수 없다.,긍정
영화팬,3.5,황정민을 보러 갔지만 악역들의 호연과 미묘한 감정선도 볼거리,긍정
홀든 콜필드,2,"설정 때문에 보기 시작했으나 역시나였다. 사이코처럼 보고 싶어서 안달난 빌런들에 힘이 빠지고 후반부로 갈수록 엉성해지는 구조에 탈출하고 싶었지만 참고 꾹 봤다. 찍어낸 듯한 그런, 킬링타임으로도 좀 아쉬운.",부정
Denny,2.5,중간까지 재밋다가 후반부로 갈수록 졸림. 황정민 영화사에 오점으로 남을 듯,중립
life on plastic,2.5,"각자 맡은 일에 최선을 다하고 있다는 느낌을 주는데 지나치게 전형적이라 김이 빠진다. 좀더 왼쪽이거나 좀더 오른쪽이어서 아슬아슬한 상태, 예상하지 못한 상태를 바라는데 너무 정중앙에 위치한 느낌?",중립
